round_id,task_name,schema_id,pair_id,score,success,best_score,final_score,timeout_flag,has_intermediate_exceptions,assignment_eligible,latest_status,evidence_class,official_c0_pct,official_c1_pct,delta_vs_c0_pp,delta_vs_c1_pp,failure_type,failure_summary,notes
outer-loop-round0,civ6-adjacency-optimizer,retrieval-heavy-synthesis,civ6-adjacency-optimizer__retrieval-heavy-synthesis,60.0,True,60.0,60.0,False,False,True,completed,measured,0.0,14.7,60.0,45.3,,,
outer-loop-round0,court-form-filling,analytic-pipeline,court-form-filling__analytic-pipeline,100.0,True,100.0,100.0,False,False,True,completed,measured,20.0,20.0,80.0,80.0,,,
outer-loop-round0,court-form-filling,artifact-generation,court-form-filling__artifact-generation,100.0,True,100.0,100.0,False,False,True,completed,measured,20.0,20.0,80.0,80.0,,,
outer-loop-round0,court-form-filling,engineering-composition,court-form-filling__engineering-composition,100.0,True,100.0,100.0,False,False,True,completed,measured,20.0,20.0,80.0,80.0,,,
outer-loop-round0,court-form-filling,environment-control,court-form-filling__environment-control,0.0,True,0.0,0.0,False,False,True,completed,measured,20.0,20.0,-20.0,-20.0,,,
outer-loop-round0,court-form-filling,methodology-guardrail,court-form-filling__methodology-guardrail,100.0,True,100.0,100.0,False,False,True,completed,measured,20.0,20.0,80.0,80.0,,,
outer-loop-round0,court-form-filling,orchestration-delegation,court-form-filling__orchestration-delegation,100.0,True,100.0,100.0,False,False,True,completed,measured,20.0,20.0,80.0,80.0,,,
outer-loop-round0,court-form-filling,retrieval-heavy-synthesis,court-form-filling__retrieval-heavy-synthesis,0.0,True,0.0,0.0,False,False,True,completed,measured,20.0,20.0,-20.0,-20.0,,,
outer-loop-round0,crystallographic-wyckoff-position-analysis,analytic-pipeline,crystallographic-wyckoff-position-analysis__analytic-pipeline,,False,,,False,False,False,unrun,missing,,,,,,,latest_status=unrun; score_basis=missing
outer-loop-round0,crystallographic-wyckoff-position-analysis,artifact-generation,crystallographic-wyckoff-position-analysis__artifact-generation,,False,,,False,False,False,unrun,missing,,,,,,,latest_status=unrun; score_basis=missing
outer-loop-round0,crystallographic-wyckoff-position-analysis,engineering-composition,crystallographic-wyckoff-position-analysis__engineering-composition,,False,,,False,False,False,unrun,missing,,,,,,,latest_status=unrun; score_basis=missing
outer-loop-round0,crystallographic-wyckoff-position-analysis,environment-control,crystallographic-wyckoff-position-analysis__environment-control,,False,,,False,False,False,unrun,missing,,,,,,,latest_status=unrun; score_basis=missing
outer-loop-round0,crystallographic-wyckoff-position-analysis,methodology-guardrail,crystallographic-wyckoff-position-analysis__methodology-guardrail,,False,,,False,False,False,unrun,missing,,,,,,,latest_status=unrun; score_basis=missing
outer-loop-round0,crystallographic-wyckoff-position-analysis,orchestration-delegation,crystallographic-wyckoff-position-analysis__orchestration-delegation,,False,,,False,False,False,unrun,missing,,,,,,,latest_status=unrun; score_basis=missing
outer-loop-round0,crystallographic-wyckoff-position-analysis,retrieval-heavy-synthesis,crystallographic-wyckoff-position-analysis__retrieval-heavy-synthesis,,False,,,False,False,False,unrun,missing,,,,,,,latest_status=unrun; score_basis=missing
outer-loop-round0,dapt-intrusion-detection,analytic-pipeline,dapt-intrusion-detection__analytic-pipeline,,False,,,False,False,False,unrun,missing,,,,,,,latest_status=unrun; score_basis=missing
outer-loop-round0,dapt-intrusion-detection,artifact-generation,dapt-intrusion-detection__artifact-generation,,False,,,False,False,False,unrun,missing,,,,,,,latest_status=unrun; score_basis=missing
outer-loop-round0,dapt-intrusion-detection,engineering-composition,dapt-intrusion-detection__engineering-composition,,False,,,False,False,False,unrun,missing,,,,,,,latest_status=unrun; score_basis=missing
outer-loop-round0,dapt-intrusion-detection,environment-control,dapt-intrusion-detection__environment-control,,False,,,False,False,False,unrun,missing,,,,,,,latest_status=unrun; score_basis=missing
outer-loop-round0,dapt-intrusion-detection,methodology-guardrail,dapt-intrusion-detection__methodology-guardrail,,False,,,False,False,False,unrun,missing,,,,,,,latest_status=unrun; score_basis=missing
outer-loop-round0,dapt-intrusion-detection,orchestration-delegation,dapt-intrusion-detection__orchestration-delegation,,False,,,False,False,False,unrun,missing,,,,,,,latest_status=unrun; score_basis=missing
outer-loop-round0,dapt-intrusion-detection,retrieval-heavy-synthesis,dapt-intrusion-detection__retrieval-heavy-synthesis,,False,,,False,False,False,unrun,missing,,,,,,,latest_status=unrun; score_basis=missing
