task_name,observed_schema_count,full_coverage,best_observed_schema,best_observed_score,second_observed_schema,second_observed_score,top3_spread_pp,missing_schema_ids,infra_blocked_schema_ids,runtime_blocked_schema_ids,ambiguous_schema_ids,artifact-generation,analytic-pipeline,engineering-composition,retrieval-heavy-synthesis,environment-control,methodology-guardrail,orchestration-delegation
energy-ac-optimal-power-flow,6,False,retrieval-heavy-synthesis,89.5,methodology-guardrail,86.5,10.5,artifact-generation,,,artifact-generation,,64.5,10.0,89.5,10.0,86.5,79.0
energy-market-pricing,0,False,,,,,,artifact-generation;analytic-pipeline;engineering-composition;retrieval-heavy-synthesis;environment-control;methodology-guardrail;orchestration-delegation,,,,,,,,,,
enterprise-information-search,0,False,,,,,,artifact-generation;analytic-pipeline;engineering-composition;retrieval-heavy-synthesis;environment-control;methodology-guardrail;orchestration-delegation,,,,,,,,,,
exceltable-in-ppt,0,False,,,,,,artifact-generation;analytic-pipeline;engineering-composition;retrieval-heavy-synthesis;environment-control;methodology-guardrail;orchestration-delegation,artifact-generation;analytic-pipeline;engineering-composition;retrieval-heavy-synthesis;environment-control;methodology-guardrail;orchestration-delegation,,,,,,,,,
exoplanet-detection-period,0,False,,,,,,artifact-generation;analytic-pipeline;engineering-composition;retrieval-heavy-synthesis;environment-control;methodology-guardrail;orchestration-delegation,,,,,,,,,,
financial-modeling-qa,0,False,,,,,,artifact-generation;analytic-pipeline;engineering-composition;retrieval-heavy-synthesis;environment-control;methodology-guardrail;orchestration-delegation,,,,,,,,,,
find-topk-similiar-chemicals,0,False,,,,,,artifact-generation;analytic-pipeline;engineering-composition;retrieval-heavy-synthesis;environment-control;methodology-guardrail;orchestration-delegation,artifact-generation;analytic-pipeline;engineering-composition;retrieval-heavy-synthesis;environment-control;methodology-guardrail;orchestration-delegation,,,,,,,,,
fix-build-agentops,0,False,,,,,,artifact-generation;analytic-pipeline;engineering-composition;retrieval-heavy-synthesis;environment-control;methodology-guardrail;orchestration-delegation,artifact-generation;analytic-pipeline;engineering-composition;retrieval-heavy-synthesis;environment-control;methodology-guardrail;orchestration-delegation,,,,,,,,,
fix-build-google-auto,0,False,,,,,,artifact-generation;analytic-pipeline;engineering-composition;retrieval-heavy-synthesis;environment-control;methodology-guardrail;orchestration-delegation,,,,,,,,,,
fix-druid-loophole-cve,0,False,,,,,,artifact-generation;analytic-pipeline;engineering-composition;retrieval-heavy-synthesis;environment-control;methodology-guardrail;orchestration-delegation,artifact-generation;analytic-pipeline;engineering-composition;retrieval-heavy-synthesis;environment-control;methodology-guardrail;orchestration-delegation,,,,,,,,,
fix-erlang-ssh-cve,0,False,,,,,,artifact-generation;analytic-pipeline;engineering-composition;retrieval-heavy-synthesis;environment-control;methodology-guardrail;orchestration-delegation,artifact-generation;analytic-pipeline;engineering-composition;retrieval-heavy-synthesis;environment-control;methodology-guardrail;orchestration-delegation,,,,,,,,,
fix-visual-stability,0,False,,,,,,artifact-generation;analytic-pipeline;engineering-composition;retrieval-heavy-synthesis;environment-control;methodology-guardrail;orchestration-delegation,,,,,,,,,,
