task_name,assignment_status,assigned_category,best_observed_category,best_score,best_reported_score,second_best_category,second_best_score,second_reported_score,margin_pp,assignment_confidence,tie_break_used,tie_break_reason,tie_candidate_schema_ids,tie_candidate_count,tie_candidate_semantic_scores,tie_candidate_score_range_pp,observed_schema_count,full_coverage,missing_schema_ids,infra_blocked_schema_ids,runtime_blocked_schema_ids,ambiguous_schema_ids,top3_spread_pp,assigned_score,assigned_reported_score,multi_assigned_categories,multi_assignment_count
econ-detrending-correlation,assigned,orchestration-delegation,orchestration-delegation,100.0,100.0,analytic-pipeline,0.0,100.0,100.0,high,False,,orchestration-delegation,1,,0.0,7,True,,,,,100.0,100.0,100.0,orchestration-delegation,1
energy-ac-optimal-power-flow,assigned,environment-control,environment-control,100.0,100.0,analytic-pipeline,0.0,100.0,100.0,high,False,,environment-control,1,,0.0,7,True,,,,,100.0,100.0,100.0,environment-control,1
energy-market-pricing,assigned,retrieval-heavy-synthesis,environment-control,80.0,100.0,retrieval-heavy-synthesis,80.0,100.0,0.0,low,True,stable_random,environment-control;retrieval-heavy-synthesis,2,environment-control:0.5;retrieval-heavy-synthesis:0.0,0.0,7,True,,,,,80.0,80.0,100.0,environment-control;retrieval-heavy-synthesis,2
exceltable-in-ppt,assigned,environment-control,analytic-pipeline,100.0,100.0,environment-control,100.0,100.0,0.0,low,True,balance,analytic-pipeline;environment-control;orchestration-delegation,3,analytic-pipeline:1.5;environment-control:0.0;orchestration-delegation:0.0,0.0,7,True,,,,,0.0,100.0,100.0,analytic-pipeline;environment-control;orchestration-delegation,3
exoplanet-detection-period,assigned,engineering-composition,engineering-composition,60.0,100.0,environment-control,60.0,100.0,0.0,low,True,balance,engineering-composition;environment-control,2,engineering-composition:1.5;environment-control:0.5,0.0,7,True,,,,,28.75,60.0,100.0,engineering-composition;environment-control,2
financial-modeling-qa,assigned,environment-control,environment-control,100.0,100.0,methodology-guardrail,31.25,100.0,68.75,high,False,,environment-control,1,,0.0,7,True,,,,,100.0,100.0,100.0,environment-control,1
find-topk-similiar-chemicals,assigned,engineering-composition,analytic-pipeline,31.25,100.0,engineering-composition,31.25,100.0,0.0,low,True,semantic_prior,analytic-pipeline;engineering-composition;orchestration-delegation,3,analytic-pipeline:1.5;engineering-composition:5.5;orchestration-delegation:0.0,0.0,7,True,,,,,0.0,31.25,100.0,engineering-composition,1
fix-build-agentops,unassigned_no_positive_signal,,analytic-pipeline,0.0,0.0,artifact-generation,0.0,0.0,0.0,unassigned,False,,,0,,,7,True,,,,,0.0,,,,0
fix-build-google-auto,unassigned_no_positive_signal,,analytic-pipeline,0.0,0.0,artifact-generation,0.0,0.0,0.0,unassigned,False,,,0,,,7,True,,,,environment-control,0.0,,,,0
fix-druid-loophole-cve,unassigned_no_positive_signal,,analytic-pipeline,0.0,0.0,artifact-generation,0.0,0.0,0.0,unassigned,False,,,0,,,7,True,,,,,0.0,,,,0
